FOV,spectral,camera,corr_before,mae_before,corr_affine,mae_affine,corr_affine_syn,mae_affine_syn
1,blue,DAPI,-0.002036103300608257,139.7024688720703,0.0009892439206612381,140.13209533691406,0.01288455687985534,140.3905487060547
1,green,FITC,-0.000694636148325912,143.53277587890625,5.0096657984342294e-05,143.55072021484375,-0.0003694851505473405,143.43978881835938
1,yellow,YFP,-0.0018632655114247958,15.228832244873047,0.0003669781932266608,15.237364768981934,0.03971001330683563,15.215763092041016
1,red,TRITC,0.0016773260733666858,636.6576538085938,0.012148270308964274,616.1610107421875,0.04664415203080896,607.0487670898438
2,blue,DAPI,0.003010284094695049,132.10372924804688,0.011540634709451434,132.2333984375,0.0635646463313517,133.11590576171875
2,green,FITC,-0.0011560768788743104,146.70382690429688,-0.0012745734920008894,146.6659393310547,0.023849423403295635,146.52822875976562
2,yellow,YFP,0.0005482449686676427,15.967140197753906,-0.0022268145657928498,16.001300811767578,0.02090361219970431,16.024816513061523
2,red,TRITC,-0.004711872264120555,613.8258056640625,0.014843154645522346,587.1376953125,0.023894297015155254,592.2437133789062
3,blue,DAPI,-0.005096618120903746,132.44943237304688,0.005745057358610513,132.59872436523438,0.03342421039583595,133.00289916992188
3,green,FITC,-0.001268713563466077,146.6204833984375,0.00013147056397664779,146.60215759277344,0.001527303149548933,146.58270263671875
3,yellow,YFP,-0.0025313457062423094,15.77011489868164,-0.0010585679095682782,15.804215431213379,-0.0010269585477749965,15.906982421875
4,blue,DAPI,-0.004046730533833657,121.47233581542969,0.0035047804752520633,121.57098388671875,0.04175078837524404,122.07243347167969
4,green,FITC,0.0017806692974483844,144.4562225341797,0.0006166331012916878,144.3961181640625,0.027702100188187702,144.34031677246094
4,yellow,YFP,-0.0004055919162921741,15.717151641845703,-0.0021449715347376603,15.727306365966797,0.05722525849977245,15.693699836730957
4,red,TRITC,0.040120067647397055,595.4857788085938,0.03227240013461346,592.9090576171875,0.04050581765886685,579.0078125
5,blue,DAPI,-0.0018402848005881936,117.35792541503906,0.02005846192244775,118.12985229492188,0.06432594137372522,118.38569641113281
5,green,FITC,0.0002728238796425553,150.30096435546875,-3.811823278573428e-07,150.2383270263672,0.10336427228237854,149.91944885253906
5,yellow,YFP,0.016555785703679396,16.71725082397461,0.013285043706201007,16.727436065673828,0.0684341065527128,16.70034408569336
5,red,TRITC,-0.000367105028366289,683.497802734375,0.002572650488255652,680.693115234375,0.09038476138446322,672.5806884765625
6,blue,DAPI,0.0074165709222887115,113.34667205810547,0.013693394202793294,113.44134521484375,0.07516976910191717,114.37090301513672
6,green,FITC,0.004957502368715997,151.5095977783203,-0.0014471742767785752,151.42343139648438,0.15882792873752605,151.0401153564453
6,yellow,YFP,0.009018486092917314,16.902706146240234,-0.0015082149104780084,16.923484802246094,0.050487984817056714,16.857303619384766
6,red,TRITC,-0.00022144386485054157,803.0240478515625,0.008350072164287316,782.2805786132812,0.06283218150583345,776.30078125
