num_pairs,mean_residual_px,median_residual_px,p90_residual_px,max_residual_px,mean_dx,mean_dy,FOV,spectral,camera,mutual_max_dist_px,out_dir
15,0.6302337209118172,0.6196806987572072,0.8240650810625334,1.334069737162705,0.0840849453166129,0.0430977864691999,1,blue,DAPI,30.0,outputs_2d/FOV-1/blue_to_DAPI/residual_vectors_after_affine
20,1.081137977794721,1.09055450069165,1.5961240065371614,2.2762749448366755,-0.6381436590792067,-0.13657876852036618,1,green,FITC,30.0,outputs_2d/FOV-1/green_to_FITC/residual_vectors_after_affine
21,1.2072547990733316,1.1282853805626418,1.9677882270363913,2.799610088505733,-0.7967070283564177,-0.25528376965731897,1,yellow,YFP,30.0,outputs_2d/FOV-1/yellow_to_YFP/residual_vectors_after_affine
20,0.82316374630055,0.7946369190938587,1.4817319101767803,1.6787978214548784,-0.41180154340025243,-0.00898516948774386,1,red,TRITC,30.0,outputs_2d/FOV-1/red_to_TRITC/residual_vectors_after_affine
19,1.1596058026264031,1.0123432166510287,2.0442059023323553,3.2634535881527613,-0.37918328426507597,-0.2900993090390212,2,blue,DAPI,30.0,outputs_2d/FOV-2/blue_to_DAPI/residual_vectors_after_affine
22,3.7010281489792978,3.38958090351872,6.495014566094802,6.95796630799241,-0.7051554273040104,-0.005748536800588511,2,green,FITC,30.0,outputs_2d/FOV-2/green_to_FITC/residual_vectors_after_affine
19,1.2082111051346427,1.3220393497841227,1.9759272477928969,2.4250715160850347,-0.8002714082610968,-0.18731845567281175,2,yellow,YFP,30.0,outputs_2d/FOV-2/yellow_to_YFP/residual_vectors_after_affine
20,4.001425621352089,3.3164269650167046,7.376827082797478,8.993442784583543,-1.7794314663181248,1.0875703179508984,2,red,TRITC,30.0,outputs_2d/FOV-2/red_to_TRITC/residual_vectors_after_affine
15,0.7778674656957195,0.7152716624267528,1.0275027798550975,1.5495364440418526,0.026779627489599514,0.15616615887284505,3,blue,DAPI,30.0,outputs_2d/FOV-3/blue_to_DAPI/residual_vectors_after_affine
16,2.214897432543105,1.559470561937728,4.3585270330001995,4.611379965345718,-1.226949548398467,-1.275822547383937,3,green,FITC,30.0,outputs_2d/FOV-3/green_to_FITC/residual_vectors_after_affine
16,1.7829530121497492,1.4782861932843028,3.2500917283762654,3.594357925994279,-1.220846761584839,-0.453383711096226,3,yellow,YFP,30.0,outputs_2d/FOV-3/yellow_to_YFP/residual_vectors_after_affine
15,2.7977502163795935,2.959524621099023,4.29394905639669,8.672262440199583,-1.5897473112984122,-0.13090208830442787,3,red,TRITC,30.0,outputs_2d/FOV-3/red_to_TRITC/residual_vectors_after_affine
5,4.056067723274863,1.269662452780182,9.800621810304136,14.361428986212506,-2.6236711915350326,1.168920519004606,4,blue,DAPI,30.0,outputs_2d/FOV-4/blue_to_DAPI/residual_vectors_after_affine
9,10.171054060161117,2.4995548289271414,22.89710495581168,27.72075359401203,0.8290294073630535,-3.545266963280312,4,green,FITC,30.0,outputs_2d/FOV-4/green_to_FITC/residual_vectors_after_affine
7,4.582966066877899,2.0355262191116643,11.05370358898078,13.44559451368901,-3.0343436051537123,-1.0828685566792342,4,yellow,YFP,30.0,outputs_2d/FOV-4/yellow_to_YFP/residual_vectors_after_affine
20,2.046540437517515,2.185950005899734,2.723971032088065,2.839162884726897,-1.1815603906761758,0.28404152646012226,4,red,TRITC,30.0,outputs_2d/FOV-4/red_to_TRITC/residual_vectors_after_affine
29,3.63310464527478,3.322680053970296,7.748915451694531,9.190384402296944,-1.0986336009024296,-2.090162091082692,5,blue,DAPI,30.0,outputs_2d/FOV-5/blue_to_DAPI/residual_vectors_after_affine
38,0.9867758240192104,0.980866460755103,1.6756330417017689,1.9076505799523815,-0.3332000511539866,-0.2538312033251316,5,green,FITC,30.0,outputs_2d/FOV-5/green_to_FITC/residual_vectors_after_affine
34,2.760895404582185,2.4355838969783474,4.659186565079139,8.354280479064615,1.2951686250728633,0.675359197981444,5,yellow,YFP,30.0,outputs_2d/FOV-5/yellow_to_YFP/residual_vectors_after_affine
35,2.0980398471790607,1.9408882703790291,3.5278266459653325,6.784896394770041,-1.1208615291923993,0.418790775309818,5,red,TRITC,30.0,outputs_2d/FOV-5/red_to_TRITC/residual_vectors_after_affine
32,1.1343745062449422,0.98581864644623,1.8898364792961553,2.8253044715230646,-0.5603916202640725,-0.33336018476579876,6,blue,DAPI,30.0,outputs_2d/FOV-6/blue_to_DAPI/residual_vectors_after_affine
36,0.8415398690127394,0.8024841429735261,1.5412948647489575,1.9840598356064152,-0.2795381484488772,0.06861042033751039,6,green,FITC,30.0,outputs_2d/FOV-6/green_to_FITC/residual_vectors_after_affine
13,11.369553162215027,12.533839984550065,20.902281751144248,24.641777235221678,1.460596696108476,-3.240293140534351,6,yellow,YFP,30.0,outputs_2d/FOV-6/yellow_to_YFP/residual_vectors_after_affine
36,0.8998180500595231,0.9111291120858197,1.5058685827116118,1.8809006044511416,-0.32332659272908815,-0.16148078403176175,6,red,TRITC,30.0,outputs_2d/FOV-6/red_to_TRITC/residual_vectors_after_affine
