FOV,spectral,camera,num_cam_centroids_in_crop,num_spec_centroids,before_mean_nn_px,before_median_nn_px,before_n,before_pct_le_5px,before_pct_le_10px,before_pct_le_20px,before_pct_le_30px,affine_mean_nn_px,affine_median_nn_px,affine_n,affine_pct_le_5px,affine_pct_le_10px,affine_pct_le_20px,affine_pct_le_30px,syn_mean_nn_px,syn_median_nn_px,syn_n,syn_pct_le_5px,syn_pct_le_10px,syn_pct_le_20px,syn_pct_le_30px
1,blue,DAPI,21,18,40.712079757029436,38.12615851472094,18,0.0,0.0,0.0,11.11111111111111,8.414078925280705,1.8025080635278536,18,94.44444444444444,94.44444444444444,94.44444444444444,94.44444444444444,nan,nan,0,nan,nan,nan,nan
1,green,FITC,34,22,36.42979844441679,37.21142049660378,22,0.0,0.0,4.545454545454546,18.181818181818183,1.0675244379361308,0.8751868821027948,22,100.0,100.0,100.0,100.0,nan,nan,0,nan,nan,nan,nan
1,yellow,YFP,40,23,43.39591878702141,43.6523678941423,23,0.0,0.0,4.3478260869565215,8.695652173913043,6.570566718395762,1.3194499428350757,23,95.65217391304348,95.65217391304348,95.65217391304348,95.65217391304348,nan,nan,0,nan,nan,nan,nan
1,red,TRITC,35,22,30.986571226417677,31.23265552065437,22,0.0,0.0,4.545454545454546,45.45454545454545,1.5556680712963618,1.5398744786150709,22,100.0,100.0,100.0,100.0,nan,nan,0,nan,nan,nan,nan
3,yellow,YFP,37,20,40.8811835707881,39.97318860272506,20,0.0,0.0,10.0,10.0,2.503475045518888,2.348500013714892,20,95.0,100.0,100.0,100.0,nan,nan,0,nan,nan,nan,nan
5,red,TRITC,46,39,32.152086420120874,32.42304424612133,39,0.0,7.6923076923076925,15.384615384615385,38.46153846153847,34.00982111138453,35.75181301180249,39,10.256410256410255,10.256410256410255,15.384615384615385,25.64102564102564,nan,nan,0,nan,nan,nan,nan
