FOV,spectral,camera,corr_before,mae_before,corr_affine,mae_affine,corr_affine_syn,mae_affine_syn
1,blue,DAPI,-0.002036103300608257,139.7024688720703,0.00955601453130874,139.73779296875,0.048249278757966724,140.45849609375
1,green,FITC,-0.000694636148325912,143.53277587890625,0.0008960870458037053,143.5667724609375,0.05867998489552142,143.41067504882812
1,yellow,YFP,-0.0018632655114247958,15.228832244873047,1.862307942991294e-05,15.237918853759766,0.03843761303760465,15.220196723937988
1,red,TRITC,0.0016773260733666858,636.6576538085938,0.013468989904288797,614.4990234375,0.0476196804224252,607.3609619140625
2,blue,DAPI,0.003010284094695049,132.10372924804688,0.00672288916856458,132.24415588378906,0.051195933004959615,132.86180114746094
2,green,FITC,-0.0011560768788743104,146.70382690429688,-0.0013112453994070582,146.63218688964844,-0.001077162213904592,147.47235107421875
2,yellow,YFP,0.0005482449686676427,15.967140197753906,-0.0020268705817132904,16.00092887878418,-0.0020548955136311903,16.688901901245117
2,red,TRITC,-0.004711872264120555,613.8258056640625,-0.005068644708819941,598.0809326171875,0.0150603758270927,592.19482421875
3,blue,DAPI,-0.005096618120903746,132.44943237304688,0.005152501366655557,132.5749053955078,0.02330088055684365,132.9444580078125
3,green,FITC,-0.001268713563466077,146.6204833984375,-0.00017608349438302177,146.61111450195312,0.06076510423183743,146.55653381347656
3,yellow,YFP,-0.0025313457062423094,15.77011489868164,-0.0007714486922322369,15.804579734802246,-0.0009115323370156845,15.887004852294922
4,blue,DAPI,-0.004046730533833657,121.47233581542969,0.009513723505750214,121.64883422851562,0.03571019506141132,122.0396957397461
4,green,FITC,0.0017806692974483844,144.4562225341797,0.03409517285999298,144.3575439453125,0.024694055987993645,144.35047912597656
4,yellow,YFP,-0.0004055919162921741,15.717151641845703,0.013331314586655818,15.695605278015137,0.04147625664225354,15.672181129455566
4,red,TRITC,0.040120067647397055,595.4857788085938,0.011812063961538414,578.9557495117188,0.0363537065689281,570.5220947265625
5,blue,DAPI,-0.0018402848005881936,117.35792541503906,0.005187082860759041,117.61170196533203,0.08132825113248467,118.84390258789062
5,green,FITC,0.0002728238796425553,150.30096435546875,-0.0017036001533788626,150.24224853515625,0.5752274383039384,149.27976989746094
5,yellow,YFP,0.016555785703679396,16.71725082397461,7.896705604088706e-05,16.76515769958496,0.06720462340684025,16.71238136291504
5,red,TRITC,-0.000367105028366289,683.497802734375,-7.601452745014046e-05,680.9266357421875,0.052078696210856285,674.2960815429688
6,blue,DAPI,0.0074165709222887115,113.34667205810547,0.012283790892847177,113.46844482421875,0.0674440594696105,114.3018569946289
6,green,FITC,0.004957502368715997,151.5095977783203,-0.0012943589958821463,151.41891479492188,0.8752207962102749,149.62391662597656
6,yellow,YFP,0.009018486092917314,16.902706146240234,-0.0031469587346279323,16.904844284057617,0.03814104480896853,16.859434127807617
6,red,TRITC,-0.00022144386485054157,803.0240478515625,-0.003454305084923048,797.934326171875,0.06505548910465347,788.4332885742188
