file,mode,slide,field,camera,spectral,dx,dy,rotation_deg,scale_x,scale_y,shear_deg,score,m00,m01,m02,m10,m11,m12,m20,m21,m22,is_inlier,dx_inlier,dy_inlier,rotation_deg_inlier,scale_x_inlier,scale_y_inlier,shear_deg_inlier
batch_affine_results/yellow/slide-19_field-1/best_affine.txt,yellow,19,1,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-1_camera-YFP.nd2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-1_spectral-yellow.nd2,-25.9257,5.3207,-2.426702,1.007849,0.988289,0.24975,3561590016.0,1.00694514,0.04623469,-39.53972973,-0.04267361,0.98721704,19.51761174,0.0,0.0,1.0,True,True,True,True,True,True,True
batch_affine_results/yellow/slide-19_field-2/best_affine.txt,yellow,19,2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-2_camera-YFP.nd2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-2_spectral-yellow.nd2,-26.9182,5.1021,-1.669919,1.018924,0.986373,1.712809,5934719488.0,1.01849129,0.05920037,-46.80730832,-0.02969294,0.98506624,16.52654954,0.0,0.0,1.0,False,True,True,False,True,True,False
batch_affine_results/yellow/slide-19_field-3/best_affine.txt,yellow,19,3,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-3_camera-YFP.nd2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-3_spectral-yellow.nd2,-27.5416,5.3438,-2.319125,1.018561,0.983942,0.483391,4308136960.0,1.01772656,0.04840205,-44.47054709,-0.04121638,0.9827888,20.3012603,0.0,0.0,1.0,True,True,True,True,True,True,True
batch_affine_results/yellow/slide-19_field-4/best_affine.txt,yellow,19,4,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-4_camera-YFP.nd2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-4_spectral-yellow.nd2,-26.4478,6.5142,-2.345353,1.007351,0.98541,0.070955,5435029504.0,1.00650717,0.0415721,-38.75612211,-0.04122352,0.98453382,21.02677654,0.0,0.0,1.0,True,True,True,True,True,True,True
batch_affine_results/yellow/slide-19_field-5/best_affine.txt,yellow,19,5,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-5_camera-YFP.nd2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-5_spectral-yellow.nd2,-27.8904,5.4969,-2.732226,1.010399,0.979442,-1.370943,5475744256.0,1.00925024,0.02253489,-36.02741429,-0.04816397,0.97948095,23.07978341,0.0,0.0,1.0,False,True,True,False,True,False,False
batch_affine_results/yellow/slide-19_field-6/best_affine.txt,yellow,19,6,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-6_camera-YFP.nd2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-6_spectral-yellow.nd2,-26.6402,6.3101,-2.483913,1.017808,0.984138,-0.021182,6118095872.0,1.0168514,0.04227551,-41.77673682,-0.04411065,0.98322927,21.89570558,0.0,0.0,1.0,True,True,True,True,True,True,True
batch_affine_results/yellow/slide-21_field-14/best_affine.txt,yellow,21,14,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-21_field-14_camera-YFP.nd2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-21_field-14_spectral-yellow.nd2,-26.5506,6.6939,-2.307426,1.006957,0.984889,0.137751,5692374016.0,1.00614101,0.04207188,-38.89312132,-0.04054141,0.983993,21.17030779,0.0,0.0,1.0,True,True,True,True,True,True,True
