slide,field,mode,camera,spectral,global_affine_file
19,1,red,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-1_camera-TRITC.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-1_spectral-red.nd2,batch_affine_results/global_affine_from_inliers/red_to_TRITC_global_affine.txt
19,2,red,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-2_camera-TRITC.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-2_spectral-red.nd2,batch_affine_results/global_affine_from_inliers/red_to_TRITC_global_affine.txt
19,3,red,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-3_camera-TRITC.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-3_spectral-red.nd2,batch_affine_results/global_affine_from_inliers/red_to_TRITC_global_affine.txt
19,4,red,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-4_camera-TRITC.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-4_spectral-red.nd2,batch_affine_results/global_affine_from_inliers/red_to_TRITC_global_affine.txt
19,5,red,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-5_camera-TRITC.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-5_spectral-red.nd2,batch_affine_results/global_affine_from_inliers/red_to_TRITC_global_affine.txt
19,6,red,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-6_camera-TRITC.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-6_spectral-red.nd2,batch_affine_results/global_affine_from_inliers/red_to_TRITC_global_affine.txt
21,14,red,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-21_field-14_camera-TRITC.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-21_field-14_spectral-red.nd2,batch_affine_results/global_affine_from_inliers/red_to_TRITC_global_affine.txt
